pdb_file,original_framework_rmsd,original_framework_rmsd_allow_reflect,A_chain_framework_rmsd,A_chain_framework_rmsd_allow_reflect,B_chain_framework_rmsd,B_chain_framework_rmsd_allow_reflect,total_framework_rmsd,total_framework_rmsd_allow_reflect
DMF5_76.pdb,1.6130,1.6130,1.2423,1.2423,1.2629,1.2629,2.5053,2.5053
DMF5_77.pdb,1.4652,1.4652,1.0488,1.0488,1.1631,1.1631,2.2119,2.2119
DMF5_78.pdb,1.5094,1.5094,0.9801,0.9801,1.3773,1.3773,2.3574,2.3574
DMF5_79.pdb,1.4560,1.4560,1.0029,1.0029,1.3295,1.3295,2.3324,2.3324
DMF5_80.pdb,1.3322,1.3322,1.0627,1.0627,1.0569,1.0569,2.1196,2.1196
DMF5_81.pdb,1.4449,1.4449,1.0913,1.0913,1.0361,1.0361,2.1274,2.1274
DMF5_82.pdb,1.5319,1.5319,1.0720,1.0720,1.3308,1.3308,2.4027,2.4027
DMF5_83.pdb,1.5638,1.5638,1.1262,1.1262,1.2384,1.2384,2.3647,2.3647
DMF5_84.pdb,1.5111,1.5111,1.0657,1.0657,1.2368,1.2368,2.3025,2.3025
DMF5_85.pdb,1.4238,1.4238,1.0164,1.0164,1.0957,1.0957,2.1122,2.1122
DMF5_86.pdb,1.3197,1.3197,1.0262,1.0262,1.0467,1.0467,2.0729,2.0729
DMF5_87.pdb,1.5135,1.5135,1.0568,1.0568,1.4173,1.4173,2.4741,2.4741
DMF5_88.pdb,1.5113,1.5113,1.1059,1.1059,1.4394,1.4394,2.5453,2.5453
DMF5_89.pdb,1.5128,1.5128,1.0362,1.0362,1.4000,1.4000,2.4362,2.4362
DMF5_90.pdb,1.4708,1.4708,1.0812,1.0812,1.1774,1.1774,2.2585,2.2585
DMF5_91.pdb,1.5215,1.5215,1.0215,1.0215,1.3782,1.3782,2.3997,2.3997
DMF5_92.pdb,1.5116,1.5116,1.0528,1.0528,1.3085,1.3085,2.3613,2.3613
DMF5_93.pdb,1.5102,1.5102,0.9965,0.9965,1.4931,1.4931,2.4896,2.4896
DMF5_94.pdb,1.5132,1.5132,0.9705,0.9705,1.3687,1.3687,2.3392,2.3392
DMF5_95.pdb,1.4927,1.4927,1.1249,1.1249,1.2249,1.2249,2.3498,2.3498
DMF5_96.pdb,1.4551,1.4551,1.2090,1.2090,1.1183,1.1183,2.3273,2.3273
DMF5_97.pdb,1.4240,1.4240,0.9580,0.9580,1.1721,1.1721,2.1302,2.1302
DMF5_98.pdb,1.5384,1.5384,1.0660,1.0660,1.2887,1.2887,2.3547,2.3547
DMF5_99.pdb,1.5161,1.5161,0.9971,0.9971,1.4279,1.4279,2.4250,2.4250
DMF5_100.pdb,1.5822,1.5822,0.9782,0.9782,1.5157,1.5157,2.4939,2.4939
DMF5_101.pdb,1.3794,1.3794,1.0333,1.0333,1.2104,1.2104,2.2437,2.2437
DMF5_102.pdb,1.4715,1.4715,0.9971,0.9971,1.3754,1.3754,2.3725,2.3725
DMF5_103.pdb,1.3796,1.3796,0.9618,0.9618,1.1946,1.1946,2.1564,2.1564
DMF5_104.pdb,1.4818,1.4818,1.0470,1.0470,1.2841,1.2841,2.3311,2.3311
DMF5_105.pdb,1.3873,1.3873,1.0893,1.0893,1.1865,1.1865,2.2758,2.2758
DMF5_106.pdb,1.4900,1.4900,1.0723,1.0723,1.4056,1.4056,2.4779,2.4779
DMF5_107.pdb,1.5825,1.5825,1.1380,1.1380,1.4389,1.4389,2.5769,2.5769
DMF5_108.pdb,1.4027,1.4027,1.0185,1.0185,1.1307,1.1307,2.1492,2.1492
DMF5_109.pdb,1.4666,1.4666,1.1018,1.1018,1.2207,1.2207,2.3225,2.3225
DMF5_110.pdb,1.4068,1.4068,1.1067,1.1067,1.1205,1.1205,2.2272,2.2272
DMF5_111.pdb,1.5466,1.5466,1.1162,1.1162,1.0925,1.0925,2.2087,2.2087
DMF5_112.pdb,1.5749,1.5749,0.9977,0.9977,1.4138,1.4138,2.4115,2.4115
DMF5_113.pdb,1.5513,1.5513,1.0812,1.0812,1.3906,1.3906,2.4718,2.4718
DMF5_114.pdb,1.5463,1.5463,1.2424,1.2424,1.2568,1.2568,2.4992,2.4992
DMF5_115.pdb,1.3743,1.3743,0.9549,0.9549,1.1564,1.1564,2.1113,2.1113
DMF5_116.pdb,1.4529,1.4529,1.0579,1.0579,1.1961,1.1961,2.2540,2.2540
DMF5_117.pdb,1.4757,1.4757,1.0832,1.0832,1.2848,1.2848,2.3680,2.3680
DMF5_118.pdb,1.6549,1.6549,1.2025,1.2025,1.3341,1.3341,2.5365,2.5365
DMF5_119.pdb,1.4903,1.4903,1.0222,1.0222,1.2889,1.2889,2.3111,2.3111
DMF5_120.pdb,1.4562,1.4562,1.0090,1.0090,1.3696,1.3696,2.3786,2.3786
DMF5_121.pdb,1.5767,1.5767,1.0714,1.0714,1.4315,1.4315,2.5030,2.5030
DMF5_122.pdb,1.4964,1.4964,1.0635,1.0635,1.2900,1.2900,2.3535,2.3535
DMF5_123.pdb,1.5278,1.5278,1.2275,1.2275,1.2405,1.2405,2.4680,2.4680
DMF5_124.pdb,1.6208,1.6208,1.1890,1.1890,1.4325,1.4325,2.6215,2.6215
DMF5_125.pdb,1.6009,1.6009,1.0909,1.0909,1.3824,1.3824,2.4733,2.4733
DMF5_126.pdb,1.4785,1.4785,0.9926,0.9926,1.3651,1.3651,2.3576,2.3576
DMF5_127.pdb,1.5447,1.5447,1.1151,1.1151,1.3087,1.3087,2.4238,2.4238
DMF5_128.pdb,1.5789,1.5789,1.1857,1.1857,1.2635,1.2635,2.4492,2.4492
DMF5_129.pdb,1.3653,1.3653,0.9743,0.9743,1.0402,1.0402,2.0145,2.0145
DMF5_130.pdb,1.3694,1.3694,1.0235,1.0235,1.0873,1.0873,2.1108,2.1108
DMF5_131.pdb,1.4778,1.4778,1.0592,1.0592,1.2551,1.2551,2.3144,2.3144
DMF5_132.pdb,1.5049,1.5049,1.1251,1.1251,1.3309,1.3309,2.4560,2.4560
DMF5_133.pdb,1.5175,1.5175,1.0115,1.0115,1.3911,1.3911,2.4026,2.4026
DMF5_134.pdb,1.4866,1.4866,1.0033,1.0033,1.3701,1.3701,2.3735,2.3735
DMF5_135.pdb,1.5648,1.5648,1.1262,1.1262,1.3796,1.3796,2.5059,2.5059
DMF5_136.pdb,1.5172,1.5172,1.0691,1.0691,1.3430,1.3430,2.4121,2.4121
DMF5_137.pdb,1.5418,1.5418,0.9968,0.9968,1.2258,1.2258,2.2227,2.2227
DMF5_138.pdb,1.5242,1.5242,0.9857,0.9857,1.4272,1.4272,2.4129,2.4129
DMF5_139.pdb,1.4280,1.4280,0.9675,0.9675,1.1939,1.1939,2.1614,2.1614
DMF5_140.pdb,1.4293,1.4293,1.0453,1.0453,1.1214,1.1214,2.1667,2.1667
DMF5_141.pdb,1.4186,1.4186,1.1223,1.1223,1.0333,1.0333,2.1557,2.1557
DMF5_142.pdb,1.5327,1.5327,1.1082,1.1082,1.2721,1.2721,2.3802,2.3802
DMF5_143.pdb,1.4719,1.4719,1.2399,1.2399,1.2092,1.2092,2.4491,2.4491
DMF5_144.pdb,1.3806,1.3806,0.9856,0.9856,1.1224,1.1224,2.1079,2.1079
DMF5_145.pdb,1.4366,1.4366,0.9447,0.9447,1.2835,1.2835,2.2282,2.2282
DMF5_146.pdb,1.5175,1.5175,1.0074,1.0074,1.3552,1.3552,2.3626,2.3626
DMF5_147.pdb,1.4693,1.4693,0.9730,0.9730,1.1616,1.1616,2.1346,2.1346
DMF5_148.pdb,1.4402,1.4402,1.0123,1.0123,1.3205,1.3205,2.3328,2.3328
DMF5_149.pdb,1.5244,1.5244,1.0070,1.0070,1.4271,1.4271,2.4342,2.4342
DMF5_150.pdb,1.4006,1.4006,0.9915,0.9915,1.2100,1.2100,2.2014,2.2014
DMF5_151.pdb,1.4365,1.4365,1.0315,1.0315,1.1626,1.1626,2.1941,2.1941
DMF5_152.pdb,1.4970,1.4970,1.0564,1.0564,1.2662,1.2662,2.3226,2.3226
DMF5_153.pdb,1.5640,1.5640,1.1058,1.1058,1.4152,1.4152,2.5210,2.5210
DMF5_154.pdb,1.4880,1.4880,0.9985,0.9985,1.3830,1.3830,2.3816,2.3816
DMF5_155.pdb,1.5025,1.5025,1.0829,1.0829,1.2056,1.2056,2.2885,2.2885
DMF5_156.pdb,1.5003,1.5003,1.1699,1.1699,1.2142,1.2142,2.3842,2.3842
DMF5_157.pdb,1.5242,1.5242,0.9840,0.9840,1.3953,1.3953,2.3793,2.3793
DMF5_158.pdb,1.5118,1.5118,0.9997,0.9997,1.4009,1.4009,2.4007,2.4007
DMF5_159.pdb,1.4552,1.4552,1.0050,1.0050,1.1414,1.1414,2.1465,2.1465
DMF5_160.pdb,1.5063,1.5063,0.9930,0.9930,1.4050,1.4050,2.3981,2.3981
DMF5_161.pdb,1.4098,1.4098,1.0092,1.0092,1.1819,1.1819,2.1911,2.1911
DMF5_162.pdb,1.6368,1.6368,1.1936,1.1936,1.4051,1.4051,2.5987,2.5987
DMF5_163.pdb,1.4624,1.4624,1.0860,1.0860,1.0964,1.0964,2.1825,2.1825
DMF5_164.pdb,1.4633,1.4633,1.0684,1.0684,1.0370,1.0370,2.1054,2.1054
DMF5_165.pdb,1.4777,1.4777,1.0018,1.0018,1.3458,1.3458,2.3476,2.3476
DMF5_166.pdb,1.4102,1.4102,1.0754,1.0754,1.1827,1.1827,2.2582,2.2582
DMF5_167.pdb,1.4596,1.4596,1.0324,1.0324,1.3214,1.3214,2.3538,2.3538
DMF5_168.pdb,1.4774,1.4774,1.0010,1.0010,1.1557,1.1557,2.1566,2.1566
DMF5_169.pdb,1.5602,1.5602,1.0619,1.0619,1.4201,1.4201,2.4820,2.4820
DMF5_170.pdb,1.4113,1.4113,1.1590,1.1590,1.0137,1.0137,2.1727,2.1727
DMF5_171.pdb,1.5175,1.5175,1.2326,1.2326,1.1892,1.1892,2.4218,2.4218
DMF5_172.pdb,1.5846,1.5846,1.0430,1.0430,1.3777,1.3777,2.4207,2.4207
DMF5_173.pdb,1.5985,1.5985,0.9814,0.9814,1.4428,1.4428,2.4242,2.4242
DMF5_174.pdb,1.5324,1.5324,0.9876,0.9876,1.4293,1.4293,2.4169,2.4169
DMF5_175.pdb,1.4521,1.4521,1.1329,1.1329,1.1997,1.1997,2.3326,2.3326
DMF5_176.pdb,1.5245,1.5245,1.0189,1.0189,1.3409,1.3409,2.3598,2.3598
DMF5_177.pdb,1.3335,1.3335,0.9651,0.9651,1.1472,1.1472,2.1123,2.1123
DMF5_178.pdb,1.6301,1.6301,1.1473,1.1473,1.3456,1.3456,2.4929,2.4929
DMF5_179.pdb,1.5040,1.5040,1.0698,1.0698,1.1305,1.1305,2.2003,2.2003
DMF5_180.pdb,1.4460,1.4460,1.0168,1.0168,1.2630,1.2630,2.2798,2.2798
DMF5_181.pdb,1.3529,1.3529,0.9399,0.9399,1.0442,1.0442,1.9841,1.9841
DMF5_182.pdb,1.6218,1.6218,0.9812,0.9812,1.4205,1.4205,2.4017,2.4017
DMF5_183.pdb,1.5482,1.5482,0.9778,0.9778,1.2066,1.2066,2.1844,2.1844
DMF5_184.pdb,1.5740,1.5740,1.1325,1.1325,1.3864,1.3864,2.5189,2.5189
DMF5_185.pdb,1.4976,1.4976,0.9675,0.9675,1.4158,1.4158,2.3833,2.3833
DMF5_186.pdb,1.4066,1.4066,1.0003,1.0003,1.2357,1.2357,2.2360,2.2360
DMF5_187.pdb,1.5022,1.5022,1.0350,1.0350,1.2457,1.2457,2.2807,2.2807
DMF5_188.pdb,1.3317,1.3317,0.9235,0.9235,1.1176,1.1176,2.0411,2.0411
DMF5_189.pdb,1.5784,1.5784,1.0748,1.0748,1.2966,1.2966,2.3713,2.3713
DMF5_190.pdb,1.3888,1.3888,0.9992,0.9992,1.0877,1.0877,2.0869,2.0869
DMF5_191.pdb,1.5543,1.5543,1.0892,1.0892,1.3819,1.3819,2.4711,2.4711
DMF5_192.pdb,1.6560,1.6560,1.0583,1.0583,1.5391,1.5391,2.5974,2.5974
DMF5_193.pdb,1.4132,1.4132,1.0037,1.0037,1.2651,1.2651,2.2688,2.2688
DMF5_194.pdb,1.4346,1.4346,0.9933,0.9933,1.1600,1.1600,2.1532,2.1532
DMF5_195.pdb,1.5357,1.5357,1.1857,1.1857,1.3474,1.3474,2.5331,2.5331
DMF5_196.pdb,1.5476,1.5476,1.0721,1.0721,1.3878,1.3878,2.4599,2.4599
DMF5_197.pdb,1.4291,1.4291,0.9972,0.9972,1.0838,1.0838,2.0810,2.0810
DMF5_198.pdb,1.3624,1.3624,0.9925,0.9925,1.0869,1.0869,2.0794,2.0794
DMF5_199.pdb,1.5454,1.5454,1.0057,1.0057,1.4226,1.4226,2.4283,2.4283
DMF5_200.pdb,1.4304,1.4304,0.9547,0.9547,1.3262,1.3262,2.2809,2.2809
DMF5_201.pdb,1.5009,1.5009,1.0125,1.0125,1.3902,1.3902,2.4027,2.4027
DMF5_202.pdb,1.4450,1.4450,1.0200,1.0200,1.2451,1.2451,2.2651,2.2651
DMF5_203.pdb,1.4871,1.4871,1.0111,1.0111,1.3755,1.3755,2.3866,2.3866
DMF5_204.pdb,1.4875,1.4875,1.0297,1.0297,1.3224,1.3224,2.3521,2.3521
DMF5_205.pdb,1.6633,1.6633,1.0954,1.0954,1.4699,1.4699,2.5653,2.5653
DMF5_206.pdb,1.4107,1.4107,0.9847,0.9847,1.2518,1.2518,2.2365,2.2365
DMF5_207.pdb,1.3974,1.3974,0.9881,0.9881,1.2093,1.2093,2.1974,2.1974
DMF5_208.pdb,1.4990,1.4990,1.0841,1.0841,1.3392,1.3392,2.4233,2.4233
DMF5_209.pdb,1.4491,1.4491,1.0565,1.0565,1.1659,1.1659,2.2224,2.2224
DMF5_210.pdb,1.4020,1.4020,0.9949,0.9949,1.0648,1.0648,2.0597,2.0597
DMF5_211.pdb,1.5021,1.5021,0.9824,0.9824,1.1485,1.1485,2.1309,2.1309
DMF5_212.pdb,1.5168,1.5168,1.0250,1.0250,1.3858,1.3858,2.4109,2.4109
DMF5_213.pdb,1.4393,1.4393,1.0607,1.0607,1.1665,1.1665,2.2272,2.2272
DMF5_214.pdb,1.5409,1.5409,1.0555,1.0555,1.3673,1.3673,2.4227,2.4227
DMF5_215.pdb,1.4384,1.4384,1.0595,1.0595,1.1582,1.1582,2.2176,2.2176
DMF5_216.pdb,1.4582,1.4582,1.0757,1.0757,1.1411,1.1411,2.2168,2.2168
DMF5_217.pdb,1.6875,1.6875,1.1742,1.1742,1.3829,1.3829,2.5571,2.5571
DMF5_218.pdb,1.3649,1.3649,0.9456,0.9456,1.1426,1.1426,2.0882,2.0882
DMF5_219.pdb,1.4393,1.4393,1.0081,1.0081,1.2506,1.2506,2.2587,2.2587
DMF5_220.pdb,1.4886,1.4886,1.0636,1.0636,1.2169,1.2169,2.2806,2.2806
DMF5_221.pdb,1.4653,1.4653,1.0160,1.0160,1.2158,1.2158,2.2318,2.2318
DMF5_222.pdb,1.6013,1.6013,1.0830,1.0830,1.2484,1.2484,2.3314,2.3314
DMF5_223.pdb,1.4547,1.4547,1.0010,1.0010,1.3894,1.3894,2.3904,2.3904
DMF5_224.pdb,1.5051,1.5051,0.9948,0.9948,1.3902,1.3902,2.3850,2.3850
DMF5_225.pdb,1.5475,1.5475,0.9853,0.9853,1.3811,1.3811,2.3664,2.3664
DMF5_226.pdb,1.4776,1.4776,0.9896,0.9896,1.2494,1.2494,2.2390,2.2390
DMF5_227.pdb,1.5859,1.5859,1.0466,1.0466,1.3047,1.3047,2.3513,2.3513
DMF5_228.pdb,1.6643,1.6643,1.0130,1.0130,1.5468,1.5468,2.5598,2.5598
DMF5_229.pdb,1.4849,1.4849,1.0852,1.0852,1.1460,1.1460,2.2313,2.2313
DMF5_230.pdb,1.4522,1.4522,1.0482,1.0482,1.1679,1.1679,2.2162,2.2162
DMF5_231.pdb,1.5900,1.5900,1.1784,1.1784,1.3572,1.3572,2.5355,2.5355
DMF5_232.pdb,1.4609,1.4609,1.0220,1.0220,1.2971,1.2971,2.3191,2.3191
DMF5_233.pdb,1.5776,1.5776,1.0888,1.0888,1.3717,1.3717,2.4605,2.4605
DMF5_234.pdb,1.4728,1.4728,1.0391,1.0391,0.9882,0.9882,2.0273,2.0273
DMF5_235.pdb,1.5737,1.5737,1.3725,1.3725,1.2074,1.2074,2.5799,2.5799
DMF5_236.pdb,1.4845,1.4845,0.9762,0.9762,1.3425,1.3425,2.3187,2.3187
DMF5_237.pdb,1.5049,1.5049,1.1121,1.1121,1.4263,1.4263,2.5384,2.5384
DMF5_238.pdb,1.6054,1.6054,1.1391,1.1391,1.3298,1.3298,2.4689,2.4689
DMF5_239.pdb,1.4325,1.4325,1.0973,1.0973,1.1866,1.1866,2.2839,2.2839
DMF5_240.pdb,1.4808,1.4808,1.0836,1.0836,1.2291,1.2291,2.3127,2.3127
DMF5_241.pdb,1.4345,1.4345,0.9855,0.9855,1.1667,1.1667,2.1522,2.1522
DMF5_242.pdb,1.4395,1.4395,1.0022,1.0022,1.3108,1.3108,2.3130,2.3130
DMF5_243.pdb,1.4395,1.4395,1.0500,1.0500,1.1867,1.1867,2.2367,2.2367
DMF5_244.pdb,1.4547,1.4547,1.0759,1.0759,1.1951,1.1951,2.2710,2.2710
DMF5_245.pdb,1.4368,1.4368,1.0106,1.0106,1.2235,1.2235,2.2341,2.2341
DMF5_246.pdb,1.5159,1.5159,1.1049,1.1049,1.2833,1.2833,2.3882,2.3882
DMF5_247.pdb,1.3850,1.3850,1.1383,1.1383,1.1941,1.1941,2.3324,2.3324
DMF5_248.pdb,1.4160,1.4160,0.9871,0.9871,1.0799,1.0799,2.0671,2.0671
DMF5_249.pdb,1.4398,1.4398,1.0434,1.0434,1.1690,1.1690,2.2124,2.2124
